team,elo
North Korea,1496.3064570847562
Central Spain,1495.317158400716
Saugeais,1494.5272428040612
Székely Land,1492.9898555221243
Malaysia,1492.7485879260714
North Vietnam,1491.2281175611133
Cilento,1490.746819502482
Comoros,1489.9081619867768
Madrid,1489.5534717966211
Luhansk PR,1489.4711303610575
Dominican Republic,1488.045542422577
Zimbabwe,1488.0296411899908
Seborga,1486.2228835664641
Sápmi,1484.4974274991403
Yoruba Nation,1480.5224596042146
Matabeleland,1480.3875875478318
Republic of St. Pauli,1478.5539822122494
South Ossetia,1478.1710578368034
Martinique,1476.08758348308
Somaliland,1475.9119347503527
Kuwait,1475.8879814623292
Kenya,1475.8092464850433
Sealand,1475.7104550059162
Ryūkyū,1474.4799926939984
Vietnam,1474.4359706962045
West Papua,1474.1116510262577
Sudan,1473.8954844643015
Franconia,1470.2782300040953
Sierra Leone,1469.9221426415988
Åland Islands,1467.403561687948
Greenland,1466.89186184115
Gozo,1465.7339430201334
South Yemen,1465.459145222056
Romani people,1460.958376970157
Luxembourg,1457.5611277861524
Aymara,1457.1864669136717
Papua New Guinea,1456.8387466790232
Provence,1456.3801474312272
Mayotte,1455.977214050219
Hmong,1453.7231031561453
Rwanda,1453.7147652056403
Mauritania,1453.2862057429634
Kyrgyzstan,1451.4568213345392
Chechnya,1451.3323399194867
Kabylia,1451.0580981418516
East Turkestan,1450.3731452136767
Monaco,1448.7200119017841
Saarland,1447.7957612737825
Lebanon,1445.2689644064055
Faroe Islands,1444.5402843468682
Equatorial Guinea,1443.3742844335516
Malawi,1439.2780445530864
Vanuatu,1437.5179576591634
Liberia,1434.3320958618542
Gotland,1433.7882903344914
Tajikistan,1433.6969369739713
Western Isles,1430.9128878842116
Manchukuo,1430.143120165866
Cuba,1425.6763708497504
Estonia,1422.4984052884236
Palau,1420.8246663278746
Armenia,1420.4473112843395
Niue,1418.7406544448656
Găgăuzia,1418.6604711402708
Lesotho,1418.6497675827097
Namibia,1417.3400580828281
Tanzania,1415.0493884627895
Saint Barthélemy,1410.9159860858847
Vatican City,1410.1155602223728
Ticino,1408.6745356769206
Fiji,1405.5393501879325
French Guiana,1405.1376279529252
Marshall Islands,1402.5383417139278
Two Sicilies,1401.3110606641087
Raetia,1400.2363921977244
Botswana,1395.1641603481353
Orkney,1393.2370488305796
Ethiopia,1392.2302568519306
Burundi,1389.1406264347754
Azerbaijan,1387.3837353036317
Western Australia,1386.8057784795024
Turkmenistan,1385.1595052417636
Western Sahara,1383.9893728214322
Ambazonia,1378.1160497631035
Cyprus,1367.6606123954466
Guinea-Bissau,1363.3965796168939
Central African Republic,1359.1456575847706
Saint Vincent and the Grenadines,1357.684215035169
Puerto Rico,1356.222720442049
Philippines,1351.481051540223
Yemen DPR,1351.406791588317
Chagos Islands,1348.4754191296583
Barawa,1347.1086660643386
Malta,1344.877544268652
Solomon Islands,1344.8352243616396
Saare County,1337.2059191815954
Moldova,1336.270770184609
Bermuda,1335.9689960457586
Vietnam Republic,1335.0912894186097
Hitra,1331.7484017304505
Saint Martin,1329.7235529165823
Saint Helena,1327.0449337782834
Lithuania,1325.0233004318218
Congo,1321.592442930643
Latvia,1319.933351223843
Eswatini,1315.0280086514422
Hong Kong,1313.9518170114325
Singapore,1306.720849924813
Sark,1306.0339658008245
Yemen,1305.968104273839
Micronesia,1305.7735863872692
Sint Maarten,1305.096438850661
Belize,1291.5235959752306
Grenada,1286.8569493845825
Wallis Islands and Futuna,1282.235470464003
South Sudan,1267.1575622084697
Saint Pierre and Miquelon,1261.8719538017992
Saint Kitts and Nevis,1261.317398307248
Tibet,1252.2084488172934
Darfur,1250.1609105315242
Chad,1249.470186910885
Samoa,1238.3332194632806
Montserrat,1220.7393522729087
India,1218.2484127607354
Kiribati,1206.9706479534048
Aruba,1202.0589932181008
Saint Lucia,1199.9902049483587
Mauritius,1199.1622660419819
Tuvalu,1197.8646744907526
Eritrea,1190.577135278485
Falkland Islands,1190.4783243380566
São Tomé and Príncipe,1171.6469684849785
Frøya,1165.0672767744622
Dominica,1152.1572802426965
Afghanistan,1146.0309574619564
Andorra,1137.4819237666047
Cook Islands,1134.5868443740974
Myanmar,1130.8308369365593
Bangladesh,1127.400241305437
Gibraltar,1123.2798668757832
Pakistan,1121.8177379274366
Barbados,1107.7589585512642
Bonaire,1094.4885357515655
Nepal,1080.9769871772905
Djibouti,1078.7255213967496
Antigua and Barbuda,1076.3243731460468
Cambodia,1071.8205304735911
Alderney,1066.3385741346665
Tonga,1057.5860595501097
Somalia,1049.3885982772777
Taiwan,1036.1993763225562
British Virgin Islands,1019.9461408447835
Cayman Islands,1012.024937657498
Sri Lanka,1007.986222145465
Seychelles,997.0379427562406
Maldives,967.8543271869394
Mongolia,965.0461636917441
Guam,957.0731768874045
Liechtenstein,948.1346692427509
United States Virgin Islands,947.4779390256399
Turks and Caicos Islands,944.7921490049464
Northern Mariana Islands,937.347562198887
Laos,927.7924756244345
San Marino,909.5133685631582
Bahamas,909.1126355559962
Timor-Leste,899.9297061592
American Samoa,890.4560760573394
Brunei,884.0789134039308
Anguilla,874.466669664427
Bhutan,834.7830976131934
Macau,813.3427806242352
